away_name,away_abbr,home_name,home_abbr,week,win_perc_dif,first_downs_dif,fumbles_dif,interceptions_dif,net_pass_yards_dif,pass_attempts_dif,pass_completions_dif,pass_touchdowns_dif,pass_yards_dif,penalties_dif,points_dif,rush_attempts_dif,rush_touchdowns_dif,rush_yards_dif,time_of_possession_dif,times_sacked_dif,total_yards_dif,turnovers_dif,yards_from_penalties_dif,yards_lost_from_sacks_dif,fourth_down_perc_dif,third_down_perc_dif,result,elo_dif
Miami Dolphins,mia,Buffalo Bills,buf,17,-0.133333333,-3.666666667,-0.2,0.066666667,-59.4,-3.866666667,-3.466666667,-0.866666667,-56.93333333,-1.8,-4.466666667,1.466666667,-0.066666667,-1.8,-51.73333333,0.466666667,-61.2,-0.266666667,-20.66666667,2.466666667,0.075,-0.103888689,0,-113.98761
Atlanta Falcons,atl,Tampa Bay Buccaneers,tam,17,-0.4,0.333333333,0,0,-8.666666667,-0.066666667,-0.333333333,-0.866666667,-1.466666667,-0.133333333,-5.266666667,2.4,-0.2,-1.333333333,89.06666667,1.266666667,-10,0,-0.266666667,7.2,-0.00621118,0.007004831,0,-130.173742
Dallas Cowboys,dal,New York Giants,nyg,17,0.066666667,4.666666667,0.066666667,0.133333333,76.46666667,6.666666667,5.333333333,1,77.33333333,1,7.933333333,2.133333333,0.066666667,2.466666667,-42,-0.666666667,78.93333333,0.333333333,13.46666667,0.866666667,-0.103030303,0.032127558,0,73.655533
New York Jets,nyj,New England Patriots,nwe,17,-0.266666667,-4.066666667,-0.6,-0.133333333,-6.333333333,3.733333333,0.533333333,0.466666667,-0.933333333,2.8,-4.6,-6.133333333,-0.8,-40.53333333,-96.4,0.4,-46.86666667,-0.133333333,29,5.4,-0.176470588,-0.060462116,0,-157.486032
Minnesota Vikings,min,Detroit Lions,det,17,0.066666667,1.533333333,0.533333333,0.066666667,-12.66666667,-5,-2.2,0.533333333,-16.26666667,-0.666666667,3.4,6.133333333,0.2,52.53333333,94.8,-0.333333333,39.86666667,0.266666667,-12.93333333,-3.6,0.050125313,0.01007326,1,139.020654
Pittsburgh Steelers,pit,Cleveland Browns,cle,17,0.133333333,-2,-0.066666667,0.133333333,21.4,9.2,6.933333333,0.466666667,20.46666667,-1.133333333,0.666666667,-7.4,-0.466666667,-61.06666667,11.6,-0.6,-39.66666667,0.066666667,-11.66666667,-0.933333333,0.106951872,-0.027811798,0,78.117889
Baltimore Ravens,rav,Cincinnati Bengals,cin,17,0.380952381,-0.333333333,0.333333333,0.066666667,-52.13333333,-11.53333333,-8,0.333333333,-63.13333333,1.2,8.133333333,7.266666667,0.6,76.4,-61.73333333,-1.066666667,24.26666667,-0.333333333,17.73333333,-11,-0.05664488,0.101135191,1,255.507292
Green Bay Packers,gnb,Chicago Bears,chi,17,0.266666667,1.8,-0.6,-0.666666667,30.8,-4.666666667,-1.066666667,1.2,25.73333333,-0.466666667,7.866666667,4.133333333,0.266666667,33.33333333,178.6,-1,64.13333333,-0.666666667,-7.133333333,-5.066666667,0.073593074,0.149224217,1,157.580475
New Orleans Saints,nor,Carolina Panthers,car,17,0.4,1.933333333,0.933333333,-0.2,-5,-1.533333333,-0.466666667,0.6,-7.6,0,7.066666667,5.133333333,0.733333333,31.93333333,68.86666667,-0.4,26.93333333,0.066666667,15.13333333,-2.6,0.101449275,0.045227802,1,264.233995
Seattle Seahawks,sea,San Francisco 49ers,sfo,17,0.333333333,0.133333333,-0.333333333,-0.266666667,-0.6,-0.4,1.466666667,0.933333333,1.133333333,-0.2,5.333333333,-1.933333333,-0.266666667,3.133333333,-61.8,0.666666667,2.533333333,-0.8,-5.266666667,1.733333333,0.181318681,0.016669771,1,122.69817
Arizona Cardinals,crd,Los Angeles Rams,ram,17,-0.066666667,2.333333333,0.2,-0.066666667,-2.733333333,-0.266666667,-0.133333333,0.4,-2.8,2.733333333,3.266666667,1.2,0.2,18.73333333,-126.6,0.133333333,16,-0.2,14.2,-0.066666667,0.2425,-0.03187388,0,-82.832167
Los Angeles Chargers,sdg,Kansas City Chiefs,kan,17,-0.533333333,-2.333333333,0,0.2,-39.26666667,-0.133333333,-0.4,-0.666666667,-36.06666667,-1.266666667,-7.066666667,3,-0.133333333,-6.6,53.46666667,0.533333333,-45.86666667,0.066666667,-10.86666667,3.2,-0.1,-0.038684768,1,-350.296528
Tennessee Titans,oti,Houston Texans,htx,17,0.4,3.533333333,-0.533333333,0.066666667,-48.53333333,-3.2,-3.733333333,0.133333333,-56.53333333,0.4,6.933333333,10.2,0.866666667,68.8,81.73333333,-1.533333333,20.26666667,-0.4,10.53333333,-8,0.133333333,0.016735192,1,184.84618
Las Vegas Raiders,rai,Denver Broncos,den,17,0.133333333,3.533333333,0,-1,48.73333333,-0.133333333,3.533333333,0.466666667,45.2,0.466666667,7.333333333,1.6,0.4,0.933333333,160.3333333,-0.333333333,49.66666667,-0.666666667,6.866666667,-3.533333333,0.45112782,0.082211804,1,19.136999
Jacksonville Jaguars,jax,Indianapolis Colts,clt,17,-0.6,-3.266666667,0.533333333,0.4,-28,3.266666667,0.466666667,0,-21.86666667,0.733333333,-8.733333333,-6.8,-0.6,-17.13333333,-178.8,1.133333333,-45.13333333,0.666666667,8.866666667,6.133333333,-0.323717949,0.010388815,0,-332.573932
Washington Football Team,was,Philadelphia Eagles,phi,17,0.114285714,-0.933333333,-0.533333333,-0.266666667,6.066666667,0.266666667,3.066666667,-0.533333333,1.666666667,-1.266666667,-0.333333333,-0.066666667,0.266666667,-26.73333333,35.13333333,-1,-20.66666667,-0.066666667,-11.4,-4.4,0.154704944,0.016689783,1,25.661298