date,season,neutral,playoff,team1,team2,elo1,elo2,elo_prob1,score1,score2,result1
9/10/20,2020,0,0,KC,HOU,1664.847251,1527.930047,0.761755623,34,20,1
9/13/20,2020,0,0,ATL,SEA,1534.515566,1546.899069,0.575147603,25,38,0
9/13/20,2020,0,0,BAL,CLE,1638.430875,1440.533332,0.819558611,38,6,1
9/13/20,2020,0,0,CAR,OAK,1417.735566,1437.326108,0.564979883,30,34,0
9/13/20,2020,0,0,JAX,IND,1438.502585,1482.654778,0.529966449,27,20,1
9/13/20,2020,0,0,NE,MIA,1581.531105,1413.919341,0.792328891,21,11,1
9/13/20,2020,0,0,BUF,NYJ,1511.354591,1458.063206,0.663948452,27,17,1
9/13/20,2020,0,0,MIN,GB,1571.140027,1582.458606,0.576644839,34,43,0
9/13/20,2020,0,0,WSH,PHI,1368.490825,1528.560907,0.366498629,27,17,1
9/13/20,2020,0,0,DET,CHI,1404.568948,1524.564659,0.421509268,23,27,0
9/13/20,2020,0,0,CIN,LAC,1382.627346,1470.390335,0.467288218,13,16,0
9/13/20,2020,0,0,SF,ARI,1603.785308,1442.650266,0.786127331,20,24,0
9/13/20,2020,0,0,NO,TB,1609.805612,1498.629216,0.733832083,34,23,1
9/13/20,2020,0,0,LAR,DAL,1548.234046,1532.115363,0.61466319,20,17,1
9/14/20,2020,0,0,NYG,PIT,1391.071315,1511.703138,0.420616646,16,26,0
9/14/20,2020,0,0,DEN,TEN,1495.656728,1599.107853,0.444889201,14,16,0
9/17/20,2020,0,0,CLE,CIN,1429.261956,1369.804046,0.671822008,35,30,1
9/20/20,2020,0,0,MIA,BUF,1404.912217,1526.64858,0.41906794,28,31,0
9/20/20,2020,0,0,NYJ,SF,1442.769217,1575.58185,0.403630426,13,31,0
9/20/20,2020,0,0,TEN,JAX,1608.715153,1457.867226,0.776002447,33,30,1
9/20/20,2020,0,0,IND,MIN,1463.290137,1543.920373,0.477521444,28,11,1
9/20/20,2020,0,0,CHI,NYG,1537.801621,1371.396931,0.791183239,17,13,1
9/20/20,2020,0,0,GB,DET,1609.678259,1391.331987,0.836316475,42,21,1
9/20/20,2020,0,0,PHI,LAR,1496.807319,1558.537925,0.504704897,19,37,0
9/20/20,2020,0,0,PIT,DEN,1531.377521,1486.049427,0.653644871,26,21,1
9/20/20,2020,0,0,TB,CAR,1486.381933,1399.166282,0.706039072,31,17,1
9/20/20,2020,0,0,DAL,ATL,1521.811484,1503.414791,0.617764393,40,39,1
9/20/20,2020,0,0,ARI,WSH,1470.853724,1400.244413,0.685815866,30,15,1
9/20/20,2020,0,0,LAC,KC,1483.213635,1676.666068,0.323128441,20,23,0
9/20/20,2020,0,0,HOU,BAL,1516.111229,1649.702251,0.402552315,16,33,0
9/20/20,2020,0,0,SEA,NE,1577.999844,1590.538229,0.57492973,35,30,1
9/21/20,2020,0,0,OAK,NO,1455.895391,1622.052896,0.358401373,34,24,1
9/24/20,2020,0,0,JAX,MIA,1452.211586,1393.585299,0.670765671,13,31,0
9/27/20,2020,0,0,NE,OAK,1575.660532,1488.14812,0.706393501,36,20,1
9/27/20,2020,0,0,PHI,CIN,1467.041629,1358.673406,0.730662756,23,23,0.5
9/27/20,2020,0,0,BUF,LAR,1537.975497,1588.303615,0.521101994,35,32,1
9/27/20,2020,0,0,PIT,HOU,1543.196511,1493.544298,0.659258408,28,21,1
9/27/20,2020,0,0,ATL,CHI,1498.309413,1543.883461,0.527927097,26,30,0
9/27/20,2020,0,0,MIN,TEN,1513.50111,1614.370794,0.448562,30,31,0
9/27/20,2020,0,0,NYG,SF,1365.315091,1598.640398,0.275088172,9,36,0
9/27/20,2020,0,0,CLE,WSH,1440.392596,1383.833899,0.668131922,34,20,1
9/27/20,2020,0,0,LAC,CAR,1474.74885,1384.275351,0.709916265,16,21,0
9/27/20,2020,0,0,IND,NYJ,1493.7094,1419.710669,0.690004645,36,7,1
9/27/20,2020,0,0,SEA,DAL,1592.877541,1526.916862,0.680021426,38,31,1
9/27/20,2020,0,0,DEN,TB,1474.230438,1501.272864,0.554409042,10,28,0
9/27/20,2020,0,0,ARI,DET,1487.264238,1382.367502,0.726712033,23,26,0
9/27/20,2020,0,0,NO,GB,1589.800167,1618.642744,0.551847671,30,37,0
9/28/20,2020,0,0,BAL,KC,1672.269182,1685.130853,0.57447487,20,34,0
10/1/20,2020,0,0,NYJ,DEN,1399.876696,1441.008778,0.534294763,28,37,0
10/4/20,2020,0,0,TB,LAC,1534.494524,1447.374314,0.705925032,38,31,1
10/4/20,2020,0,0,MIA,SEA,1435.437716,1605.437417,0.353331551,23,31,0
10/4/20,2020,0,0,CIN,JAX,1365.708268,1410.359169,0.529251268,33,25,1
10/4/20,2020,0,0,WSH,BAL,1366.80074,1640.399765,0.231334263,17,31,0
10/4/20,2020,0,0,CAR,ARI,1411.649887,1465.429281,0.516142139,31,21,1
10/4/20,2020,0,0,DET,NO,1404.20246,1566.465965,0.363572045,29,35,0
10/4/20,2020,0,0,HOU,MIN,1480.075192,1507.382481,0.554032356,23,31,0
10/4/20,2020,0,0,DAL,CLE,1514.356986,1457.425755,0.66860725,38,49,0
10/4/20,2020,0,0,LAR,NYG,1575.113707,1348.285082,0.842891369,17,9,1
10/4/20,2020,0,0,CHI,IND,1561.028166,1513.543373,0.656450147,11,19,0
10/4/20,2020,0,0,OAK,BUF,1472.589693,1551.165405,0.480472916,23,30,0
10/4/20,2020,0,0,SF,PHI,1615.670408,1460.006767,0.780784176,20,25,0
10/5/20,2020,0,0,KC,NE,1717.00027,1591.218959,0.749927471,26,10,1
10/5/20,2020,0,0,GB,ATL,1641.976946,1481.164708,0.785814741,30,16,1
10/8/20,2020,0,0,CHI,TB,1530.626371,1545.933784,0.571029697,20,19,1
10/11/20,2020,0,0,WSH,LAR,1355.356556,1581.209202,0.283748666,10,30,0
10/11/20,2020,0,0,BAL,CIN,1651.84395,1386.205491,0.870265464,27,3,1
10/11/20,2020,0,0,PIT,PHI,1556.665617,1491.105578,0.679519392,38,29,1
10/11/20,2020,0,0,HOU,JAX,1455.304117,1389.861946,0.679371614,30,14,1
10/11/20,2020,0,0,KC,OAK,1730.039684,1452.729936,0.87766409,32,40,0
10/11/20,2020,0,0,ATL,CAR,1470.644077,1434.736946,0.641267141,16,23,0
10/11/20,2020,0,0,NYJ,ARI,1375.001642,1442.342221,0.496631687,10,30,0
10/11/20,2020,0,0,SF,MIA,1584.571597,1420.618041,0.788842538,17,43,0
10/11/20,2020,0,0,DAL,NYG,1479.178761,1342.189586,0.761830804,37,34,1
10/11/20,2020,0,0,CLE,IND,1492.60398,1543.945168,0.51964649,32,23,1
10/11/20,2020,0,0,SEA,MIN,1620.257091,1532.153555,0.707098748,27,26,1
10/12/20,2020,0,0,NO,LAC,1580.016459,1435.935054,0.769159137,30,27,1
10/13/20,2020,0,0,TEN,BUF,1620.489423,1571.025162,0.659015325,42,16,1
10/18/20,2020,0,0,MIN,ATL,1528.357274,1442.692474,0.704182805,23,40,0
10/18/20,2020,0,0,PIT,CLE,1570.5975,1514.588584,0.667429815,38,7,1
10/18/20,2020,0,0,NYG,WSH,1336.141435,1339.256151,0.58813002,20,19,1
10/18/20,2020,0,0,TEN,HOU,1641.854417,1472.45536,0.794016706,42,36,1
10/18/20,2020,0,0,NE,DEN,1578.179545,1465.883832,0.735088709,12,18,0
10/18/20,2020,0,0,PHI,BAL,1477.173694,1659.104715,0.33780102,28,30,0
10/18/20,2020,0,0,CAR,CHI,1462.68855,1536.441806,0.487405716,16,23,0
10/18/20,2020,0,0,IND,CIN,1521.960564,1378.944726,0.768068245,31,27,1
10/18/20,2020,0,0,JAX,DET,1372.710703,1390.651966,0.567311845,16,34,0
10/18/20,2020,0,0,MIA,NYJ,1478.655962,1344.793654,0.75854948,24,0,1
10/18/20,2020,0,0,TB,GB,1540.118349,1652.497577,0.432235349,38,10,1
10/18/20,2020,0,0,SF,LAR,1526.533676,1597.309607,0.491688532,24,16,1
10/19/20,2020,0,0,BUF,KC,1549.660168,1684.364306,0.401012226,17,26,0
10/19/20,2020,0,0,DAL,ARI,1485.226913,1472.550209,0.609959754,10,38,0
10/22/20,2020,0,0,PHI,NYG,1470.126034,1341.694946,0.752777107,22,21,1
10/25/20,2020,0,0,HOU,GB,1465.210739,1613.419357,0.382491286,20,35,0
10/25/20,2020,0,0,WSH,DAL,1333.702639,1442.645155,0.437096687,25,3,1
10/25/20,2020,0,0,NO,CAR,1585.861255,1442.498248,0.76842406,27,24,1
10/25/20,2020,0,0,TEN,PIT,1649.099038,1592.447662,0.668250207,24,27,0
10/25/20,2020,0,0,CIN,CLE,1372.124044,1492.738423,0.420641118,34,37,0
10/25/20,2020,0,0,NYJ,BUF,1330.538244,1531.760016,0.313424961,10,18,0
10/25/20,2020,0,0,ATL,DET,1486.392208,1424.790503,0.674537056,22,23,0
10/25/20,2020,0,0,OAK,TB,1498.405314,1579.196569,0.477290193,20,45,0
10/25/20,2020,0,0,LAC,JAX,1430.090258,1338.572166,0.711153021,39,29,1
10/25/20,2020,0,0,DEN,KC,1496.999764,1702.264459,0.30843874,16,43,0
10/25/20,2020,0,0,NE,SF,1547.063613,1548.929964,0.589869638,6,33,0
10/25/20,2020,0,0,ARI,SEA,1515.131968,1624.053372,0.437126588,37,34,1
10/26/20,2020,0,0,LAR,CHI,1574.913318,1556.632108,0.617607408,24,10,1
10/29/20,2020,0,0,CAR,ATL,1436.633091,1476.470163,0.536149182,17,25,0
11/1/20,2020,0,0,MIA,LAR,1492.911373,1594.868673,0.447013863,28,17,1
11/1/20,2020,0,0,BAL,PIT,1666.152376,1612.059976,0.664976487,24,28,0
11/1/20,2020,0,0,CLE,OAK,1504.113517,1467.525812,0.642167882,6,16,0
11/1/20,2020,0,0,KC,NYJ,1721.588069,1317.568045,0.937020524,35,9,1
11/1/20,2020,0,0,GB,MIN,1633.856213,1484.65754,0.774347875,22,28,0
11/1/20,2020,0,0,DET,IND,1434.712548,1528.781246,0.458264121,21,41,0
11/1/20,2020,0,0,BUF,NE,1544.730215,1506.590836,0.644217771,24,21,1
11/1/20,2020,0,0,CIN,TEN,1360.74895,1629.486724,0.236347637,31,20,1
11/1/20,2020,0,0,DEN,LAC,1477.676154,1443.022682,0.639605311,31,30,1
11/1/20,2020,0,0,CHI,NO,1536.676753,1591.726412,0.514315778,23,26,0
11/1/20,2020,0,0,SEA,SF,1608.129295,1589.402742,0.618212666,37,27,1
11/1/20,2020,0,0,PHI,DAL,1473.27629,1406.626114,0.680884446,23,9,1
11/2/20,2020,0,0,NYG,TB,1338.54469,1610.076071,0.233457481,23,25,0
11/5/20,2020,0,0,SF,GB,1571.764296,1600.469337,0.552043466,17,34,0
11/8/20,2020,0,0,TEN,CHI,1587.661251,1522.352103,0.679204792,24,17,1
11/8/20,2020,0,0,JAX,HOU,1325.639742,1444.773883,0.42271908,25,27,0
11/8/20,2020,0,0,KC,CAR,1725.009955,1412.799689,0.89765137,33,31,1
11/8/20,2020,0,0,BUF,SEA,1554.152846,1625.76774,0.490481552,44,34,1
11/8/20,2020,0,0,WSH,NYG,1369.721681,1333.855332,0.641213133,20,23,0
11/8/20,2020,0,0,ATL,DEN,1500.303565,1482.455782,0.617017993,34,27,1
11/8/20,2020,0,0,IND,BAL,1556.321266,1643.522592,0.46809314,10,24,0
11/8/20,2020,0,0,MIN,DET,1518.044415,1407.172528,0.733489564,34,20,1
11/8/20,2020,0,0,LAC,OAK,1438.243054,1499.813775,0.504934969,26,31,0
11/8/20,2020,0,0,DAL,PIT,1390.318367,1634.689759,0.262591052,19,24,0
11/8/20,2020,0,0,ARI,MIA,1531.056045,1520.863309,0.606552627,31,34,0
11/8/20,2020,0,0,TB,NO,1614.765429,1606.051062,0.604519874,3,38,0
11/9/20,2020,0,0,NYJ,NE,1314.146159,1497.168205,0.336397571,27,30,0
11/12/20,2020,0,0,TEN,IND,1600.256702,1531.22216,0.683859304,17,34,0
11/15/20,2020,0,0,GB,JAX,1632.916864,1316.574713,0.899816007,24,20,1
11/15/20,2020,0,0,CLE,HOU,1471.825554,1453.838913,0.617206863,10,7,1
11/15/20,2020,0,0,NYG,PHI,1352.487803,1489.584037,0.397709203,27,17,1
11/15/20,2020,0,0,DET,WSH,1393.806554,1351.08921,0.650234669,30,27,1
11/15/20,2020,0,0,CAR,TB,1410.880007,1569.937223,0.367853395,23,46,0
11/15/20,2020,0,0,OAK,DEN,1517.936464,1467.10605,0.660780308,37,12,1
11/15/20,2020,0,0,ARI,BUF,1513.643707,1578.661976,0.499973709,32,30,1
11/15/20,2020,0,0,MIA,LAC,1538.275647,1420.120365,0.741604851,29,21,1
11/15/20,2020,0,0,LAR,SEA,1566.916736,1601.258609,0.544006432,23,16,1
11/15/20,2020,0,0,NO,SF,1650.879268,1539.31677,0.734265978,27,13,1
11/15/20,2020,0,0,PIT,CIN,1643.390376,1402.574423,0.853262021,36,10,1
11/15/20,2020,0,0,NE,BAL,1506.020246,1668.621699,0.363122029,23,17,1
11/16/20,2020,0,0,CHI,MIN,1509.756652,1531.410388,0.562058636,13,19,0
11/19/20,2020,0,0,SEA,ARI,1582.555014,1524.630499,0.669872928,28,21,1
11/22/20,2020,0,0,NO,ATL,1664.20243,1515.653298,0.773693867,24,9,1
11/22/20,2020,0,0,WSH,CIN,1341.844308,1394.082389,0.518357623,20,9,1
11/22/20,2020,0,0,CAR,DET,1388.457485,1403.051456,0.572035409,20,0,1
11/22/20,2020,0,0,JAX,PIT,1313.826314,1651.882411,0.171954636,3,27,0
11/22/20,2020,0,0,BAL,TEN,1642.684884,1558.159805,0.702814308,24,30,0
11/22/20,2020,0,0,HOU,NE,1443.611426,1531.957061,0.466453404,27,20,1
11/22/20,2020,0,0,CLE,PHI,1482.05304,1459.720783,0.623099475,22,17,1
11/22/20,2020,0,0,LAC,NYJ,1409.638003,1305.294117,0.726079534,34,28,1
11/22/20,2020,0,0,DEN,MIA,1446.107422,1548.758009,0.446027558,20,13,1
11/22/20,2020,0,0,MIN,DAL,1553.724349,1381.617749,0.796554161,28,31,0
11/22/20,2020,0,0,IND,GB,1573.319057,1635.665262,0.503819043,34,31,1
11/22/20,2020,0,0,OAK,KC,1538.935093,1726.929637,0.33003793,31,35,0
11/23/20,2020,0,0,TB,LAR,1592.359745,1585.620332,0.601798679,24,27,0
11/26/20,2020,0,0,DET,HOU,1377.576185,1466.038999,0.466285532,25,41,0
11/26/20,2020,0,0,DAL,WSH,1406.370686,1365.642982,0.64762539,16,41,0
11/29/20,2020,0,0,CIN,NYG,1370.283715,1382.351057,0.575592257,17,19,0
11/29/20,2020,0,0,NYJ,MIA,1295.395562,1525.317789,0.279011808,3,20,0
11/29/20,2020,0,0,BUF,LAC,1567.675185,1419.536559,0.773279846,27,17,1
11/29/20,2020,0,0,NE,ARI,1509.529488,1511.627443,0.589547063,20,17,1
11/29/20,2020,0,0,ATL,OAK,1504.214555,1528.87406,0.557795153,43,6,1
11/29/20,2020,0,0,JAX,CLE,1303.978569,1495.04366,0.326141459,25,27,0
11/29/20,2020,0,0,IND,TEN,1587.059539,1587.506661,0.591844629,26,45,0
11/29/20,2020,0,0,MIN,CAR,1528.971412,1413.932756,0.738152045,28,27,1
11/29/20,2020,0,0,DEN,NO,1469.547641,1675.641173,0.30742196,3,31,0
11/29/20,2020,0,0,LAR,SF,1602.868165,1525.993608,0.693534459,20,23,0
11/29/20,2020,0,0,TB,KC,1575.111911,1736.99067,0.364084672,24,27,0
11/29/20,2020,0,0,GB,CHI,1621.92478,1487.442691,0.759202317,41,25,1
11/30/20,2020,0,0,PHI,SEA,1446.730163,1595.55807,0.381649637,17,23,0
12/2/20,2020,0,0,PIT,BAL,1661.730156,1613.338027,0.657627101,19,14,1
12/6/20,2020,0,0,MIN,JAX,1532.326805,1297.200886,0.849113334,27,24,1
12/6/20,2020,0,0,CHI,DET,1474.932419,1351.433269,0.747455695,30,34,0
12/6/20,2020,0,0,TEN,CLE,1624.038755,1501.821343,0.746060388,35,41,0
12/6/20,2020,0,0,NYJ,OAK,1280.391387,1497.282182,0.294349196,28,31,0
12/6/20,2020,0,0,MIA,CIN,1540.321963,1357.324867,0.806524915,19,7,1
12/6/20,2020,0,0,ATL,NO,1535.806432,1695.097017,0.367541065,16,21,0
12/6/20,2020,0,0,HOU,IND,1492.181915,1550.527445,0.50957538,20,26,0
12/6/20,2020,0,0,SEA,NYG,1609.866004,1395.309905,0.833307825,12,17,0
12/6/20,2020,0,0,ARI,LAR,1500.563607,1582.313788,0.475913211,28,38,0
12/6/20,2020,0,0,LAC,NE,1409.623887,1520.593325,0.434228018,0,45,0
12/6/20,2020,0,0,GB,PHI,1634.435052,1432.422229,0.82303538,30,16,1
12/6/20,2020,0,0,KC,DEN,1746.659467,1450.091798,0.889077319,22,16,1
12/7/20,2020,0,0,PIT,WSH,1673.397783,1409.973963,0.868819309,17,23,0
12/7/20,2020,0,0,SF,BUF,1546.547985,1577.587857,0.548717502,24,34,0
12/8/20,2020,0,0,BAL,DAL,1601.670401,1362.039705,0.852405695,34,17,1
12/10/20,2020,0,0,LAR,NE,1604.965127,1553.162845,0.662033188,24,3,1
12/13/20,2020,0,0,MIA,KC,1549.241568,1750.367043,0.31354426,27,33,0
12/13/20,2020,0,0,CIN,DAL,1348.405262,1354.545384,0.583904999,7,30,0
12/13/20,2020,0,0,CHI,HOU,1448.6181,1472.289989,0.559196993,36,7,1
12/13/20,2020,0,0,JAX,TEN,1293.51962,1592.302727,0.206563811,10,31,0
12/13/20,2020,0,0,NYG,ARI,1429.518578,1477.912267,0.52388022,7,26,0
12/13/20,2020,0,0,CAR,DEN,1410.577364,1446.384222,0.541913716,27,32,0
12/13/20,2020,0,0,TB,MIN,1565.443114,1536.00807,0.632652216,26,14,1
12/13/20,2020,0,0,OAK,IND,1504.916212,1570.419372,0.499275895,27,44,0
12/13/20,2020,0,0,SEA,NYJ,1575.657332,1272.757358,0.892621484,40,3,1
12/13/20,2020,0,0,LAC,ATL,1377.054366,1523.176825,0.385331662,20,17,1
12/13/20,2020,0,0,SF,WSH,1519.82006,1449.720328,0.68518346,15,23,0
12/13/20,2020,0,0,PHI,NO,1423.875018,1707.726624,0.22100641,24,21,1
12/13/20,2020,0,0,DET,GB,1377.747588,1642.982263,0.240006579,24,31,0
12/13/20,2020,0,0,BUF,PIT,1604.315782,1633.651418,0.55114563,26,15,1
12/14/20,2020,0,0,CLE,BAL,1533.557372,1609.164722,0.484739537,42,47,0
12/17/20,2020,0,0,OAK,LAC,1476.060952,1394.749063,0.698936553,27,30,0
12/19/20,2020,0,0,DEN,BUF,1466.064959,1626.267151,0.366322078,19,48,0
12/19/20,2020,0,0,GB,CAR,1652.131162,1390.896628,0.86737628,24,16,1
12/20/20,2020,0,0,BAL,JAX,1626.452103,1281.976319,0.913499457,40,14,1
12/20/20,2020,0,0,IND,HOU,1599.274631,1442.857728,0.781525445,27,20,1
12/20/20,2020,0,0,DAL,SF,1392.679267,1487.740019,0.456846728,41,33,1
12/20/20,2020,0,0,WSH,SEA,1481.800369,1582.350092,0.449017631,15,20,0
12/20/20,2020,0,0,TEN,DET,1603.846028,1368.598689,0.849202861,46,25,1
12/20/20,2020,0,0,MIA,NE,1537.75003,1533.322797,0.598604835,22,12,1
12/20/20,2020,0,0,MIN,CHI,1517.939111,1478.050361,0.646522504,27,33,0
12/20/20,2020,0,0,ATL,TB,1505.482129,1583.512073,0.48125719,27,31,0
12/20/20,2020,0,0,LAR,NYJ,1624.805176,1266.064597,0.919771529,20,23,0
12/20/20,2020,0,0,ARI,PHI,1509.539094,1447.859205,0.674635852,33,26,1
12/20/20,2020,0,0,NO,KC,1683.742436,1761.858581,0.481133313,29,32,0
12/20/20,2020,0,0,NYG,CLE,1397.891751,1516.26999,0.423781278,6,20,0
12/21/20,2020,0,0,CIN,PIT,1310.271379,1611.700049,0.204078989,27,17,1
12/25/20,2020,0,0,NO,MIN,1670.481648,1491.517943,0.802876105,52,33,1
12/26/20,2020,0,0,DET,TB,1360.395782,1598.911935,0.269169697,7,47,0
12/26/20,2020,0,0,ARI,SF,1522.333863,1463.540766,0.670977694,12,20,0
12/26/20,2020,0,0,OAK,MIA,1455.301715,1556.411196,0.448220582,25,26,0
12/27/20,2020,0,0,HOU,CIN,1434.602469,1353.038122,0.699242266,31,37,0
12/27/20,2020,0,0,PIT,IND,1568.933306,1607.52989,0.53792459,28,24,1
12/27/20,2020,0,0,KC,ATL,1775.119369,1490.082266,0.882360469,17,14,1
12/27/20,2020,0,0,JAX,CHI,1277.169211,1504.471529,0.282055735,17,41,0
12/27/20,2020,0,0,BAL,NYG,1631.259212,1375.48303,0.863719893,27,13,1
12/27/20,2020,0,0,NYJ,CLE,1297.649657,1538.67871,0.266333617,23,16,1
12/27/20,2020,0,0,LAC,DEN,1415.5083,1442.179881,0.55493635,19,16,1
12/27/20,2020,0,0,WSH,CAR,1465.965611,1385.821176,0.697520527,13,20,0
12/27/20,2020,0,0,DAL,PHI,1416.878519,1435.064436,0.566966106,37,17,1
12/27/20,2020,0,0,SEA,LAR,1598.184851,1593.220116,0.59934805,20,9,1
12/27/20,2020,0,0,GB,TEN,1657.206613,1612.048934,0.653422748,40,14,1
12/28/20,2020,0,0,NE,BUF,1514.661631,1650.152229,0.399925269,9,38,0
1/3/21,2020,0,0,CIN,BAL,1382.193725,1637.701017,0.250368461,3,38,0
1/3/21,2020,0,0,DET,MIN,1341.865651,1480.886305,0.395058684,35,37,0
1/3/21,2020,0,0,NYG,DAL,1369.041225,1442.696758,0.487546264,23,19,1
1/3/21,2020,0,0,NE,NYJ,1488.301738,1330.815706,0.782574447,28,14,1
1/3/21,2020,0,0,BUF,MIA,1676.512122,1562.524512,0.736980936,56,26,1
1/3/21,2020,0,0,CLE,PIT,1505.512661,1583.63055,0.481130806,24,22,1
1/3/21,2020,0,0,TB,ATL,1617.442067,1487.268325,0.754639273,44,27,1
1/3/21,2020,0,0,DEN,OAK,1430.051399,1449.188398,0.565621451,31,32,0
1/3/21,2020,0,0,CHI,GB,1521.382026,1678.962501,0.36983236,16,35,0
1/3/21,2020,0,0,KC,LAC,1777.93331,1427.636782,0.916110688,21,38,0
1/3/21,2020,0,0,IND,JAX,1592.832646,1260.258714,0.907930117,28,14,1
1/3/21,2020,0,0,LAR,ARI,1573.922178,1491.090011,0.700774853,18,7,1
1/3/21,2020,0,0,CAR,NO,1416.879291,1681.113286,0.241058864,7,33,0
1/3/21,2020,0,0,HOU,TEN,1405.446866,1590.293046,0.334057528,38,41,0
1/3/21,2020,0,0,SF,SEA,1494.784619,1617.482789,0.417720661,23,26,0
1/3/21,2020,0,0,PHI,WSH,1409.246198,1434.907496,0.556372248,14,20,0
1/9/21,2020,0,1,BUF,IND,1693.217119,1597.056015,0.716612065,27,24,1
1/9/21,2020,0,1,SEA,LAR,1628.768481,1587.856756,0.647867095,20,30,0
1/9/21,2020,0,1,WSH,TB,1456.954736,1630.469967,0.348721469,23,31,0
1/10/21,2020,0,1,TEN,BAL,1599.076599,1654.215004,0.514188166,13,20,0
1/10/21,2020,0,1,NO,CHI,1695.683599,1500.118465,0.817564555,21,9,1
1/10/21,2020,0,1,PIT,CLE,1572.161442,1516.981769,0.666369406,37,48,0
1/16/21,2020,0,1,GB,LAR,1700.226062,1620.498535,0.69701394,32,18,1
1/16/21,2020,0,1,BUF,BAL,1700.538009,1675.695777,0.62648659,17,3,1
1/17/21,2020,0,1,KC,CLE,1712.65209,1552.012725,0.785647202,22,17,1
1/17/21,2020,0,1,NO,TB,1704.051294,1645.074008,0.671211725,20,30,0
1/24/21,2020,0,1,GB,TB,1715.623187,1679.186255,0.641968421,26,31,0
1/24/21,2020,0,1,KC,BUF,1719.618921,1719.974149,0.591972407,38,24,1
2/7/21,2020,1,1,TB,KC,1703.303296,1741.087279,0.44583783,31,9,1